district,mandal,revenue_division
"NTR district","Movva mandal","Gudivada revenue division"
"NTR district","Mudinepalle mandal","Vijayawada revenue division"
"NTR district","Musunuru mandal","Vijayawada revenue division"
"NTR district","Nagayalanka mandal","Machilipatnam revenue division"
"NTR district","Nandigama mandal","Vijayawada revenue division"
"NTR district","Nandivada mandal","Gudivada revenue division"
"NTR district","Nuzvid mandal","Vijayawada revenue division"
"NTR district","Pamarru mandal","Gudivada revenue division"
"NTR district","Pedana mandal","Machilipatnam revenue division"
"NTR district","Penamaluru mandal","Vijayawada revenue division"
"NTR district","Penuganchiprolu mandal","Vijayawada revenue division"
"NTR district","Reddigudem mandal","Vijayawada revenue division"
"NTR district","Thotlavalluru mandal","Vijayawada revenue division"
"NTR district","Tiruvuru mandal","Vijayawada revenue division"
"NTR district","Unguturu mandal","Vijayawada revenue division"
"NTR district","Vatsavai mandal","Vijayawada revenue division"
"NTR district","Veerullapadu mandal","Vijayawada revenue division"
"NTR district","Vijayawada mandal","Vijayawada revenue division"
"NTR district","Vissannapeta mandal","Vijayawada revenue division"
"NTR district","Vuyyuru mandal","Gudivada revenue division"
"Palnadu district","Amaravathi mandal","Guntur revenue division"
"Palnadu district","Bhattiprolu mandal","Guntur revenue division"
"Palnadu district","Chebrole mandal","Guntur revenue division"
"Palnadu district","Dachepalle mandal","Guntur revenue division"
"Palnadu district","Guntur mandal","Guntur revenue division"
"Palnadu district","Krosuru mandal","Guntur revenue division"
"Palnadu district","Machavaram mandal","Guntur revenue division"
"Palnadu district","Macherla mandal","Guntur revenue division"
"Palnadu district","Mangalagiri mandal","Guntur revenue division"
"Palnadu district","Medikonduru mandal","Guntur revenue division"
"Palnadu district","Nadendla mandal","Guntur revenue division"
"Palnadu district","Pedakakani mandal","Guntur revenue division"
"Palnadu district","Pedanandipadu mandal","Guntur revenue division"
"Palnadu district","Phirangipuram mandal","Guntur revenue division"
"Palnadu district","Prathipadu mandal","Guntur revenue division"
"Palnadu district","Sattenapalle mandal","Guntur revenue division"
"Palnadu district","Tadepalle mandal","Guntur revenue division"
"Palnadu district","Thadepalle mandal","Guntur revenue division"
"Palnadu district","Thullur mandal","Guntur revenue division"
"Palnadu district","Vetapalem mandal","Guntur revenue division"
"Parvathipuram Manyam district","Bondapalle mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Gajapathinagaram mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Gurla mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Jiyyammavalasa mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Komarada mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Kurupam mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Lakkavarapukota mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Mentada mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Parvathipuram mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Seethanagaram mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Vepada mandal","Parvathipuram revenue division"
"Prakasam district","Addanki mandal","Ongole revenue division"
"Prakasam district","Ardhaveedu mandal","Markapur revenue division"
"Prakasam district","Ballikurava mandal","Ongole revenue division"
"Prakasam district","Bestawaripeta mandal","Markapur revenue division"
